John Doe,john.doe@example.com,123 Elm St,123-456-7890
Jane Smith,jane.smith@example.com,456 Maple Ave,987-654-3210
Michael Johnson,michael.j@example.com,789 Oak Dr,456-789-0123
Emily Davis,emily.d@example.com,321 Pine St,789-123-4567
Robert Brown,robert.b@example.com,654 Birch Blvd,321-654-9870
Linda Martinez,linda.m@example.com,987 Cedar Ln,654-321-7890
William Miller,william.m@example.com,159 Walnut Way,987-123-4560
Sophia Wilson,sophia.w@example.com,753 Spruce St,321-456-7890
James Taylor,james.t@example.com,951 Palm Rd,456-123-7890
Mary Lee,mary.l@example.com,159 Fir Ct,789-456-1230
Christopher Harris,chris.h@example.com,258 Ash St,123-789-4560
Patricia Thompson,patricia.t@example.com,357 Beech Cir,654-987-1230
Daniel White,daniel.w@example.com,753 Willow Ln,321-789-4560
Elizabeth Martin,elizabeth.m@example.com,456 Poplar Dr,987-456-1230
Matthew Clark,matthew.c@example.com,951 Sycamore St,123-654-7890
